"id","titleofplace","latitude","longitude"
"1","STRAET VAN SUNDA","-6.239170","105.161133"
"2","STRAET VAN BANCA","-2.723583","106.040039"
"3","STRAET DE BABELMANDEL","12.359514","47.329102"
