"id","titleofplace","latitude","longitude"
"1","YEMEN","25.799891","43.5"
"2","EGYPTEN","24.206890","27.685547"
"3","PERSIA","32.249974","61.611328"
"4","MOGOL","26.745610","74.443359"
"5","MAGADOXA","4.959615","39.968262"
"6","MOMBASA","-2.811371","37.946777"
"7","MADA GAS CAR","-19.932041","46.691895"
"8","MOZAMBIQUE","-16.762468","36.617432"
"9","HOLLANDIA NOVA","-25","133"

