95676,"4638.1","1789-06-01T00:00:00Z","1789-11-18T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95677,"4639.3","1789-06-11T00:00:00Z","1789-12-24T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95678,"4640.4","1789-07-03T00:00:00Z","1790-02-23T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95679,"4641.2","1789-07-03T00:00:00Z","1789)-11-(26T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95680,"4642.2","1789-07-04T00:00:00Z","1790-02-25T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95681,"4643.3","1789-07-20T00:00:00Z","1790-03-07T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95682,"46444","1789-08-03T00:00:00Z","T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95683,"4645.1","1789-08-03T00:00:00Z","1790-03-01T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95684,"4646.2","1789-08-09T00:00:00Z","1790-04-25T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95685,"4647.1","1789-08-09T00:00:00Z","1789)-12-(20T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95686,"4648.1","1789-09-01T00:00:00Z","1790-04-26T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95687,"4649.2","1789-10-09T00:00:00Z","T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95688,"4650.1","1789-10-23T00:00:00Z","1790-06-02T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95689,"4651.1","1789-10-23T00:00:00Z","1790-06-17T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95690,"4652.3","1789-10-23T00:00:00Z","1790-06-01T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95691,"4653.2","1789-10-24T00:00:00Z","1790-05-18T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95692,"4654.1","1789-11-18T00:00:00Z","1790-04-22T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95693,"4655.2","1789-11-22T00:00:00Z","T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95694,"4656.2","1789-11-23T00:00:00Z","1790-07-23T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95695,"4657.1","1790-01-06T00:00:00Z","1790-07-11T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95696,"4658.2","1790-01-18T00:00:00Z","1790-07-16T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95697,"4659.1","1790-01-18T00:00:00Z","1790-07-26T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95698,"4660.1","1790-01-18T00:00:00Z","1790-07-30T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95699,"4661.1","1790-01-18T00:00:00Z","1790-07-21T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95700,"4662.1","1790-01-18T00:00:00Z","1790-07-26T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95701,"4663.2","1790-01-18T00:00:00Z","1790-08-09T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95702,"4664.1","1790-01-18T00:00:00Z","1790-07-22T00:00:00Z","Rammekens","Ceylon","Rammekens-Ceylon",90
95703,"4665.1","1790-02-19T00:00:00Z","T00:00:00Z","Rammekens","Ceylon","Rammekens-Ceylon",90
95704,"4666.2","1790-03-05T00:00:00Z","1790-08-10T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95705,"4667.1","1790-04-02T00:00:00Z","1790-09-14T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95706,"4668.1","1790-04-13T00:00:00Z","1790-12-07T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95707,"4669.3","1790-05-12T00:00:00Z","1790-12-07T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95708,"4670.2","1790-05-25T00:00:00Z","1790-12-27T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95709,"4671.2","1790-06-02T00:00:00Z","T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95710,"4672.2","1790-06-13T00:00:00Z","1791-02-08T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95711,"4673.3","1790-06-16T00:00:00Z","1791-02-01T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95712,"4674.2","1790-06-27T00:00:00Z","1790)-10-(16T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95713,"4675.2","1790-08-13T00:00:00Z","1791-05-22T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95714,"4676.2","1790-09-06T00:00:00Z","1791-05-03T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95715,"4677.1","1790-09-07T00:00:00Z","1791-05-20T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95716,"4678.1","1790-09-08T00:00:00Z","1791-05-28T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95717,"4679.2","1790-10-01T00:00:00Z","1791-07-24T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95718,"4680.2","1790-10-02T00:00:00Z","1791-06-07T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95719,"4681.1","1790-10-02T00:00:00Z","1791-06-19T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95720,"4682.2","1790-10-11T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95721,"4683.1","1790-10-26T00:00:00Z","1791-06-15T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95722,"4684.3","1790-10-27T00:00:00Z","1791-06-17T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95723,"4685.1","1790-11-09T00:00:00Z","1791-06-19T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95724,"4686.2","1790-11-23T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95725,"4687.2","1790-11-29T00:00:00Z","1791-09-14T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95726,"4688.2","1791-02-20T00:00:00Z","1791-12-02T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95727,"4689.1","1791-02-20T00:00:00Z","1791-09-05T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95728,"4690.1","1791-02-20T00:00:00Z","1791-08-30T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95729,"4691.2","1791-02-20T00:00:00Z","1791-09-12T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95730,"4692.2","1791-02-20T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95731,"4693.1","1791-03-31T00:00:00Z","1792-01-30T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95732,"4694.2","1791-03-31T00:00:00Z","1792-03-20T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95733,"4695.2","1791-04-27T00:00:00Z","1791-12-14T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95734,"4696.2","1791-05-02T00:00:00Z","1791-09-14T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95735,"4697.4","1791-05-25T00:00:00Z","1792-02-11T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95736,"4698.2","1791-05-25T00:00:00Z","1792-04-13T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95737,"4699.2","1791-06-03T00:00:00Z","1792-01-23T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95738,"4700.2","1791-06-05T00:00:00Z","1791-12-07T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95739,"4701.2","1791-06-17T00:00:00Z","1792-02-10T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95740,"4702.2","1791-07-09T00:00:00Z","1791-12-15T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95741,"4703.3","1791-08-08T00:00:00Z","1792-04-01T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95742,"4704.2","1791-08-09T00:00:00Z","1792-06-07T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95743,"4705.1","1791-08-15T00:00:00Z","1792-03-12T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95744,"4706.2","1791-09-08T00:00:00Z","1792)-01-(09T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95745,"4707.2","1791-09-09T00:00:00Z","1792-06-21T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95746,"4708.3","1791-09-12T00:00:00Z","1792-04-01T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95747,"4709.1","1791-09-14T00:00:00Z","1792-04-24T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95748,"4710.3","1791-10-27T00:00:00Z","1792-06-14T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95749,"4711.3","1791-12-16T00:00:00Z","1792-05-29T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95750,"4712.1","1791-12-17T00:00:00Z","1792-08-30T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95751,"4713.2","1791-12-17T00:00:00Z","1792-09-12T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95752,"4714.1","1791-12-17T00:00:00Z","1792-07-09T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95753,"4715.2","1791-12-17T00:00:00Z","1792-08-30T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95754,"4716.2","1791-12-17T00:00:00Z","1792-09-21T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95755,"4717.1","1791-12-22T00:00:00Z","1792-09-12T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95756,"4718.2","1792-01-20T00:00:00Z","1792)-05-(27T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95757,"4719.2","1792-01-20T00:00:00Z","1792)-05-(31T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95758,"4720.2","1792-01-22T00:00:00Z","1792-09-23T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95759,"4721.3","1792-02-20T00:00:00Z","1792-09-16T00:00:00Z","Rammekens","Ceylon","Rammekens-Ceylon",90
95760,"4722.3","1792-03-20T00:00:00Z","1793-09-17T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95761,"4723.1","1792-05-24T00:00:00Z","1792-12-08T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95762,"4724.3","1792-06-02T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95763,"4725.3","1792-06-16T00:00:00Z","1792-11-25T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95764,"4726.2","1792-07-10T00:00:00Z","1793-01-05T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95765,"4727.3","1792-07-11T00:00:00Z","1792)-11-(21T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95766,"4728.2","1792-07-11T00:00:00Z","1793-02-20T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95767,"4729.2","1792-07-12T00:00:00Z","1793-02-24T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95768,"4730.2","1792-07-24T00:00:00Z","1793)-01-(17T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95769,"4731.2","1792-09-30T00:00:00Z","1793-03-27T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95770,"4732.3","1792-10-01T00:00:00Z","1793-05-07T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95771,"4733.2","1792-10-01T00:00:00Z","1793-06-13T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95772,"4734.2","1792-10-01T00:00:00Z","1793-05-08T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95773,"4735.3","1792-10-07T00:00:00Z","1793)-03-(31T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95774,"4736.1","1792-10-09T00:00:00Z","1793-07-03T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95775,"4737.2","1792-10-25T00:00:00Z","1793-07-13T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95776,"4738.3","1792-11-24T00:00:00Z","1793-07-13T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95777,"4739.3","1792-11-25T00:00:00Z","1793-06-22T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95778,"4740.1","1792-11-29T00:00:00Z","1793-08-06T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95779,"4741.2","1792-12-28T00:00:00Z","1793-06-13T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95780,"4742.1","1793-01-15T00:00:00Z","1793-07-09T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95781,"4743.3","1793-01-15T00:00:00Z","1793-08-16T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95782,"4744.4","1793-01-15T00:00:00Z","1793-07-13T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95783,"4745.1","1793-01-15T00:00:00Z","1793-08-07T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95784,"4746.4","1793-04-06T00:00:00Z","1793-10-04T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95785,"4747.2","1793-04-06T00:00:00Z","1793-09-25T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95786,"4748.2","1793-04-09T00:00:00Z","1793)-07-(07T00:00:00Z","Rammekens","The Cape","Rammekens-The Cape",56
95787,"4749.3","1793-07-01T00:00:00Z","1793-12-20T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95788,"4750.3","1793-07-08T00:00:00Z","1794-02-18T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95789,"4751.1","1793-07-08T00:00:00Z","1794-02-16T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95790,"4752.3","1793-09-20T00:00:00Z","1794-06-15T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95791,"4753.3","1793-09-20T00:00:00Z","1794-07-06T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95792,"4754.3","1793-11-07T00:00:00Z","1794-07-09T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95793,"4755.1","1793-11-07T00:00:00Z","1794-07-09T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95794,"4756.5","1793-11-07T00:00:00Z","1794-07-09T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95795,"4757.2","1793-11-07T00:00:00Z","1794-07-09T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95796,"4758.2","1793-11-07T00:00:00Z","1794-11-05T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95797,"4759.1","1793-11-07T00:00:00Z","1794-07-09T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95798,"4760.1","1793-11-16T00:00:00Z","1794-07-09T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95799,"4761.3","1793-11-16T00:00:00Z","1794-11-28T00:00:00Z","Goeree","Batavia","Goeree-Batavia",45
95800,"4762.1","1793-11-16T00:00:00Z","1794-07-09T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95801,"4763.2","1793-12-26T00:00:00Z","1794-07-15T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95802,"4764.3","1793-12-27T00:00:00Z","1795-01-01T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95803,"4765.1","1793-12-27T00:00:00Z","1794-11-05T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95804,"4766.2","1793-12-27T00:00:00Z","1794-12-01T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95805,"4767.2","1793-12-29T00:00:00Z","1795-01-31T00:00:00Z","Rammekens","Batavia","Rammekens-Batavia",55
95806,"4768.4","1794-03-21T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95807,"4769.2","1794-05-05T00:00:00Z","1795-01-29T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95808,"4770.1","1794-05-05T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95809,"4771.1","1794-05-05T00:00:00Z","1794-12- T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95810,"4772.1","1794-05-05T00:00:00Z","1795-01-01T00:00:00Z","Texel","Ceylon","Texel-Ceylon",54
95811,"4773.1","1794-06-24T00:00:00Z","1795-05-15T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95812,"4774.1","1794-06-24T00:00:00Z","1795-02-26T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95813,"4775.3","1794-06-24T00:00:00Z","1794)-11-(28T00:00:00Z","Texel","The Cape","Texel-The Cape",60
95814,"4776.4","1794-06-24T00:00:00Z","1795-05-15T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95815,"4777.1","1794-06-24T00:00:00Z","1795-04-03T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95816,"4778.1","1794-06-24T00:00:00Z","T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95817,"4779.4","1794-07-10T00:00:00Z","1795-01-24T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95818,"4780.3","1794-09-06T00:00:00Z","1795-02-14T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95819,"4781.3","1794-09-06T00:00:00Z","1795-05-15T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95820,"4782.1","1794-12-19T00:00:00Z","T00:00:00Z","Goeree",\N,"Goeree",8
95821,"4783.3","1794-12-22T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95822,"4784.2","1794-12-22T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95823,"4785.2","1794-12-22T00:00:00Z","1795-07-13T00:00:00Z","Texel","Batavia","Texel-Batavia",42
95824,"4786.1","1794-12-22T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95825,"4787.1","1794-12-22T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95826,"4788.1","1794-12-22T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
95827,"4789.1","1794-12-26T00:00:00Z","T00:00:00Z",\N,\N,"",9
95828,"5001.1","1597-02-25T00:00:00Z","1597-08-11T00:00:00Z","Bali","Texel","Bali-Texel",101
95829,"5002.1","1597-02-25T00:00:00Z","1597-08-14T00:00:00Z","Bali","Texel","Bali-Texel",101
95830,"5003.1","1597-02-25T00:00:00Z","1597-08-11T00:00:00Z","Bali","Texel","Bali-Texel",101
95831,"5004.1","1599-01-12T00:00:00Z","1599-07-19T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95832,"5005.2","1599-01-12T00:00:00Z","1599-07-19T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95833,"5006.2","1599-01-12T00:00:00Z","1599-07-19T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95834,"5007.2","1599-01-12T00:00:00Z","1599-07-19T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95835,"5008.1","1599-08-19T00:00:00Z","1600-05-19T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95836,"5009.1","1599-08-19T00:00:00Z","1600-05-19T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95837,"5010.1","1599-11-18T00:00:00Z","1600-05-31T00:00:00Z","Bantam","Zeeland","Bantam-Zeeland",103
95838,"5011.1","1599-11-18T00:00:00Z","1600-05-31T00:00:00Z","Bantam","Zeeland","Bantam-Zeeland",103
95839,"5012.1","1599-12-28T00:00:00Z","1600-08-08T00:00:00Z",\N,"Middelburg","Middelburg",104
95840,"5013.1","1599-12-28T00:00:00Z","1600-08-08T00:00:00Z",\N,"Middelburg","Middelburg",104
95841,"5014.1","1600-01-21T00:00:00Z","1600-09- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95842,"5015.1","1600-01-21T00:00:00Z","1600-09- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95843,"5016.2","1601-01-14T00:00:00Z","1601-09- T00:00:00Z","Bantam",\N,"Bantam",20
95844,"5017.1","1601-01-14T00:00:00Z","1601-10- T00:00:00Z","Bantam",\N,"Bantam",20
95845,"5018.3","1601-01-14T00:00:00Z","1601-09- T00:00:00Z","Bantam",\N,"Bantam",20
95846,"5019.1","1601-01-14T00:00:00Z","1601-10- T00:00:00Z",\N,\N,"",9
95847,"5020.1","1601-01-14T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95848,"5021.1","1601-01-14T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95849,"5022.1","1601-01-14T00:00:00Z","1601-10- T00:00:00Z","Bantam",\N,"Bantam",20
95850,"5022A.","1601-02-04T00:00:00Z","1601-06-25T00:00:00Z","Djaratan","Maas","Djaratan-Maas",105
95851,"5023.1","1601-04- T00:00:00Z","1601-11- T00:00:00Z","Bantam",\N,"Bantam",20
95852,"5024.1","1601-04-13T00:00:00Z","1601-10-11T00:00:00Z","Bantam",\N,"Bantam",20
95853,"5025.1","1601-04-13T00:00:00Z","1601-10-11T00:00:00Z","Bantam",\N,"Bantam",20
95854,"5026.3","1601-09-09T00:00:00Z","1602-06- T00:00:00Z","Bantam",\N,"Bantam",20
95855,"5027","T00:00:00Z","T00:00:00Z",\N,\N,"",9
95856,"5028.3","1601-09-09T00:00:00Z","1602-06- T00:00:00Z","Bantam",\N,"Bantam",20
95857,"5029.2","1601-11-29T00:00:00Z","1602-07-06T00:00:00Z","Atjeh","Zeeland","Atjeh-Zeeland",106
95858,"5030.1","1601-11-29T00:00:00Z","1602-07-06T00:00:00Z","Atjeh","Zeeland","Atjeh-Zeeland",106
95859,"5031.1","T00:00:00Z","T00:00:00Z",\N,\N,"",9
95860,"5032.1","T00:00:00Z","T00:00:00Z",\N,\N,"",9
95861,"5033.1","Winter 1601/1602-Winter 1601/1602-Winter 1601/1602T00:00:00Z","1602-11- T00:00:00Z","Bantam",\N,"Bantam",20
95862,"5034.2","1602-05-11T00:00:00Z","1603-04- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95863,"5035.1","1602-05-11T00:00:00Z","1603-04- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95864,"5036.1","1602-05-11T00:00:00Z","1603-04- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95865,"5037.1","1602-05-11T00:00:00Z","1603-04- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95866,"5038.1","1602-05-11T00:00:00Z","1603-04- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95867,"5039.1","1602-08-25T00:00:00Z","1603-02-17T00:00:00Z","Bantam","Vlissingen","Bantam-Vlissingen",107
95868,"5040.2","1602-08-25T00:00:00Z","1603-04- T00:00:00Z","Bantam",\N,"Bantam",20
95869,"5041.2","1602-08-25T00:00:00Z","1603-04- T00:00:00Z","Bantam",\N,"Bantam",20
95870,"5042.1","1602-11- T00:00:00Z","1603-07-15T00:00:00Z","Bantam","Wielingen","Bantam-Wielingen",108
95871,"5043.1","1602-11- T00:00:00Z","1603-07-15T00:00:00Z","Bantam","Wielingen","Bantam-Wielingen",108
95872,"5044.1","1602-11- T00:00:00Z","1603-05-31T00:00:00Z","Bantam","Zeeland","Bantam-Zeeland",103
95873,"5045.2","1602-11- T00:00:00Z","1603-05-31T00:00:00Z","Bantam","Zeeland","Bantam-Zeeland",103
95874,"5046.1","1603-08-29T00:00:00Z","1604-03-24T00:00:00Z","Bantam","Vlissingen","Bantam-Vlissingen",107
95875,"5047.1","1603-08-30T00:00:00Z","1604-03-24T00:00:00Z","Bantam","Vlissingen","Bantam-Vlissingen",107
95876,"5048.1","1603-08-30T00:00:00Z","1604-03-24T00:00:00Z","Bantam","Vlissingen","Bantam-Vlissingen",107
95877,"5049.1","1603-08-30T00:00:00Z","1604-03-24T00:00:00Z","Bantam","Vlissingen","Bantam-Vlissingen",107
95878,"5050.1","1603-10-18T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95879,"5051.1","1603-10-18T00:00:00Z","1604-07- T00:00:00Z","Bantam",\N,"Bantam",20
95880,"5052.1","1603-10-18T00:00:00Z","1604-07- T00:00:00Z","Bantam",\N,"Bantam",20
95881,"5053.1","1603-10-18T00:00:00Z","1604-07- T00:00:00Z","Bantam",\N,"Bantam",20
95882,"5054.1","1604-1604-1604T00:00:00Z","1605-04-08T00:00:00Z","Madagascar","Texel","Madagascar-Texel",109
95883,"5055.1","1604-01-27T00:00:00Z","1604-08-30T00:00:00Z","Bantam",\N,"Bantam",20
95884,"5056.1","1604-01-27T00:00:00Z","1604-08-30T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95885,"5057.1","1604-01-27T00:00:00Z","1604-08-30T00:00:00Z","Bantam",\N,"Bantam",20
95886,"5058.1","1604-01-27T00:00:00Z","1604-08-30T00:00:00Z","Bantam",\N,"Bantam",20
95887,"5059.1","1604-04-21T00:00:00Z","1605-04- T00:00:00Z","Bantam","Zeeland","Bantam-Zeeland",103
95888,"5060.1","1604-04-21T00:00:00Z","1605-04-08T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95889,"5061.1","1604-04-21T00:00:00Z","1605-04- T00:00:00Z","Bantam","Zeeland","Bantam-Zeeland",103
95890,"5062.1","1605-08-25T00:00:00Z","1606-04-29T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95891,"5063.1","1605-08-25T00:00:00Z","1606-04-28T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95892,"5064.1","1605-08-25T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95893,"5065.1","1605-10-07T00:00:00Z","1606-07-23T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95894,"5066.1","1605-11-05T00:00:00Z","1606-07-23T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95895,"5067.1","1606-02-06T00:00:00Z","1606-10-13T00:00:00Z","Bantam","Goeree","Bantam-Goeree",110
95896,"5068.1","1606-02-06T00:00:00Z","1607-06- T00:00:00Z","Bantam","Goeree","Bantam-Goeree",110
95897,"5069.1","1606-02-06T00:00:00Z","1607-06- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95898,"5070.1","1606-02-06T00:00:00Z","1606-10-13T00:00:00Z","Bantam","Goeree","Bantam-Goeree",110
95899,"5071.1","1606-02-06T00:00:00Z","1606-10-13T00:00:00Z","Bantam","Goeree","Bantam-Goeree",110
95900,"5072.1","1607-06-19T00:00:00Z","1608-05- T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95901,"5073.2","1607-06-19T00:00:00Z","1608-05-04T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95902,"5074.1","1607-07-18T00:00:00Z","1608-05- T00:00:00Z","Bantam",\N,"Bantam",20
95903,"5075.1","1607-10-15T00:00:00Z","1608-08-08T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95904,"5076.1","1607-10-15T00:00:00Z","1608-05- T00:00:00Z","Bantam",\N,"Bantam",20
95905,"5077.2","1607-12-27T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95906,"5078.1","1608-01-28T00:00:00Z","1608-09-02T00:00:00Z","Bantam","Wielingen","Bantam-Wielingen",108
95907,"5079.1","1608-11-16T00:00:00Z","1609-08-07T00:00:00Z","Bantam","Wielingen","Bantam-Wielingen",108
95908,"5080.1","1608-11-16T00:00:00Z","1609-08-09T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95909,"5081.2","1608-11-16T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95910,"5082.1","1608-11-16T00:00:00Z","1609-08-07T00:00:00Z","Bantam","Wielingen","Bantam-Wielingen",108
95911,"5083.1","1608-11-16T00:00:00Z","T00:00:00Z","Bantam",\N,"Bantam",20
95912,"5084.2","1608-11-20T00:00:00Z","1609-08-09T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95913,"5085.1","1609-05-24T00:00:00Z","1610-06-18T00:00:00Z","Bantam","Texel","Bantam-Texel",102
95914,"5086.2","1609-05-24T00:00:00Z","1610-06- T00:00:00Z","Bantam","Wielingen","Bantam-Wielingen",108
