91088,"0034.3","1599-12-21T00:00:00Z","1600-09-01T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91089,"0035.1","1599-12-21T00:00:00Z","1600-08-06T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91090,"0036.1","1599-12-21T00:00:00Z","1600-08-06T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91091,"0037.1","1599-12-21T00:00:00Z","1600-08-06T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91092,"0038.1","1599-12-21T00:00:00Z","1600-08-06T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91093,"0039.1","1600-06-28T00:00:00Z","1601-10- T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91094,"0040.1","1600-06-28T00:00:00Z","1601-10- T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91095,"0041.1","1600-06-28T00:00:00Z","1601-03-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91096,"0042.1","1600-06-28T00:00:00Z","1601-03-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91097,"0043.1","1600-06-28T00:00:00Z","1601-08-09T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91098,"0044.1","1600-06-28T00:00:00Z","1601-03-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91099,"0045.1","1600-06-28T00:00:00Z","1601-08-09T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91100,"0046.1","1600-06-28T00:00:00Z","1601-08-09T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91101,"0047.2","1601-01-28T00:00:00Z","1601-08-23T00:00:00Z","Zeeland","Atjeh","Zeeland-Atjeh",13
91102,"0048.1","1601-01-28T00:00:00Z","1601-08-23T00:00:00Z","Zeeland","Atjeh","Zeeland-Atjeh",13
91103,"0049.1","1601-01-28T00:00:00Z","1601-08-23T00:00:00Z","Zeeland","Atjeh","Zeeland-Atjeh",13
91104,"0050.2","1601-01-28T00:00:00Z","1601-08-23T00:00:00Z","Zeeland","Atjeh","Zeeland-Atjeh",13
91105,"0051.2","1601-04-23T00:00:00Z","1601-12-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91106,"0052.1","1601-04-23T00:00:00Z","1601-12-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91107,"0053.2","1601-04-23T00:00:00Z","1601-12-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91108,"0054.1","1601-04-23T00:00:00Z","1601-12-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91109,"0055.2","1601-04-23T00:00:00Z","1601-12-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91110,"0056.1","1601-04-23T00:00:00Z","1602-02-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91111,"0057.2","1601-04-23T00:00:00Z","1602-02-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91112,"0058.1","1601-04-23T00:00:00Z","1602-02-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91113,"0059.1","1601-04-23T00:00:00Z","1602-02-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91114,"0060.1","1601-04-23T00:00:00Z","1602-02-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91115,"0061.1","1601-04-23T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91116,"0062.1","1601-04-23T00:00:00Z","1602-02-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91117,"0063.1","1601-04-22T00:00:00Z","1602-04-04T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91118,"0064.1","1601-05-05T00:00:00Z","T00:00:00Z","Veere","Atjeh","Veere-Atjeh",7
91119,"0065.1","1601-05-05T00:00:00Z","1602-09-16T00:00:00Z","Veere","Atjeh","Veere-Atjeh",7
91120,"0066.1","1601-05-05T00:00:00Z","1602-09-16T00:00:00Z","Veere","Atjeh","Veere-Atjeh",7
91121,"0067.1","1602-03-31T00:00:00Z","1602-11-28T00:00:00Z","Wielingen","Ceylon","Wielingen-Ceylon",15
91122,"0068.1","1602-03-31T00:00:00Z","1602-11-28T00:00:00Z","Wielingen","Ceylon","Wielingen-Ceylon",15
91123,"0069.1","1602-03-31T00:00:00Z","1602-11-28T00:00:00Z","Wielingen","Ceylon","Wielingen-Ceylon",15
91124,"0070.1","1602-06-17T00:00:00Z","1603-04-29T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91125,"0071.1","1602-06-17T00:00:00Z","1603-03-10T00:00:00Z","Texel","Atjeh","Texel-Atjeh",16
91126,"0072.1","1602-06-17T00:00:00Z","1603-04-29T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91127,"0073.1","1602-06-17T00:00:00Z","1603-04-29T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91128,"0074.1","1602-06-17T00:00:00Z","1603-04-29T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91129,"0075.1","1602-06-17T00:00:00Z","1603-04-29T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91130,"0076.1","1602-06-17T00:00:00Z","1603-03-10T00:00:00Z","Texel","Atjeh","Texel-Atjeh",16
91131,"0077.1","1602-06-17T00:00:00Z","1603-03-10T00:00:00Z","Texel","Atjeh","Texel-Atjeh",16
91132,"0078.2","1602-06-17T00:00:00Z","1603-04-29T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91133,"0079.1","1602-06-18T00:00:00Z","1603-04-29T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91134,"0080.1","1602-06-18T00:00:00Z","1603-04-29T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91135,"0081.1","1602-06-18T00:00:00Z","1603-04-29T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91136,"0082.1","1603-12-18T00:00:00Z","1604-12-31T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91137,"0083.2","1603-12-18T00:00:00Z","1604/1605-1604/1605-1604/1605T00:00:00Z","Texel","Atjeh","Texel-Atjeh",16
91138,"0084.1","1603-12-18T00:00:00Z","1604-12-31T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91139,"0085.1","1603-12-18T00:00:00Z","1604-12-11T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91140,"0086.1","1603-12-18T00:00:00Z","1605-08-21T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91141,"0087.1","1603-12-18T00:00:00Z","1604-12-31T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91142,"0088.1","1603-12-18T00:00:00Z","T00:00:00Z","Texel","Madagascar","Texel-Madagascar",18
91143,"0089.1","1603-12-18T00:00:00Z","1604-12-31T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91144,"0090.1","1603-12-18T00:00:00Z","1604-1604-1604T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91145,"0091.1","1603-12-18T00:00:00Z","1604-12-31T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91146,"0092.1","1603-12-18T00:00:00Z","1604-12-31T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91147,"0093.1","1603-12-18T00:00:00Z","1604-1604-1604T00:00:00Z","Wielingen","Cambodia","Wielingen-Cambodia",19
91148,"0094.1","1604-07-02T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91149,"0095.1","1605-05-12T00:00:00Z","1606-07-13T00:00:00Z",\N,"Bantam","Bantam",20
91150,"0096.2","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91151,"0097.1","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91152,"0098.2","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91153,"0099.1","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91154,"0100.2","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91155,"0101.1","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91156,"0102.1","1605-05-12T00:00:00Z","1606-05-01T00:00:00Z","Texel","Johore","Texel-Johore",21
91157,"0103.1","1605-05-24T00:00:00Z","1606-05-01T00:00:00Z","Wielingen","Johore","Wielingen-Johore",22
91158,"0104.1","1605-05-24T00:00:00Z","1606-05-01T00:00:00Z","Wielingen","Johore","Wielingen-Johore",22
91159,"0105.2","1605-05-30T00:00:00Z","1606-07-14T00:00:00Z","Goeree","Johore","Goeree-Johore",23
91160,"0106.1","1605-05-30T00:00:00Z","1606-07-14T00:00:00Z","Goeree","Johore","Goeree-Johore",23
91161,"0107.1","1606-04-20T00:00:00Z","1607-10-02T00:00:00Z","Texel","Goa","Texel-Goa",24
91162,"0108.1","1606-04-20T00:00:00Z","1607-10-02T00:00:00Z","Texel","Goa","Texel-Goa",24
91163,"0109.1","1606-04-20T00:00:00Z","1607-10-02T00:00:00Z","Texel","Goa","Texel-Goa",24
