1777,"aardolie",421,\N
1778,"aardolie",333,\N
1779,"aardolie",465,\N
1780,"aardolie",557,\N
1781,"aardolie",584,\N
1782,"aardolie",648,\N
1783,"aardolie",616,\N
1785,"aardolie",93,\N
1787,"aardolie",258,\N
1790,"aardolie",62,\N
1801,"aardolie",24,\N
1711,"AB-boek",\N,1
1712,"AB-boek",\N,\N
1713,"AB-boek",\N,1
1724,"AB-boek",5,\N
1726,"AB-boek",\N,5
1729,"AB-boek",12,\N
1712,"AB-bord",\N,\N
1724,"AB-bord",30,12
1726,"AB-bord",3,15
1701,"abassi",\N,270248
1702,"abassi",\N,43636
1703,"abassi",\N,\N
1707,"abassi",\N,9052
1726,"abassi",\N,170
1729,"abassi",\N,20126
1731,"abassi",\N,78442
1735,"abassi",\N,4850
1738,"abassi",\N,9760
1739,"abassi",\N,9760
1742,"abassi",\N,35083
1743,"abassi",\N,5226
1701,"ABC-boek",\N,51
1704,"ABC-boek",\N,1
1707,"ABC-boek",\N,1
1709,"ABC-boek",2,\N
1711,"ABC-boek",\N,\N
1713,"ABC-boek",\N,\N
1715,"ABC-boek",\N,\N
1723,"ABC-boek",\N,3
1729,"ABC-boek",2,\N
1704,"ABC-bord",\N,2
1711,"ABC-bord",29,\N
1713,"ABC-bord",3,\N
1715,"ABC-bord",\N,\N
1722,"ABC-bord",\N,39
1723,"ABC-bord",\N,15
1724,"ABC-bord",7,9
1726,"ABC-bord",\N,5
1727,"ABC-bord",8,2
1729,"ABC-bord",\N,\N
1762,"abrikoos",\N,108
1763,"abrikoos",\N,45
1766,"abrikoos",\N,81
1769,"abrikoos",224,\N
1777,"abrikoos",192,\N
1778,"abrikoos",49,\N
1760,"abrikozengelei",\N,60
1762,"abrikozengelei",\N,60
1763,"abrikozengelei",\N,60
1769,"abrikozengelei",95,\N
1777,"abrikozengelei",44,\N
1741,"abrikozenmarmelade",\N,180
1704,"absint",\N,65
1731,"absint",\N,200
1751,"absint",\N,60
1707,"achtentwintigstuiverstuk",\N,11320
1738,"achtersteven",\N,97
1707,"acmella",\N,7
1729,"aculi cancri",337,\N
1738,"adapangia",\N,11237
1739,"adapangia",\N,34315
1751,"adapangia",\N,38031
1761,"adapangia",\N,25780
1767,"adapangia",\N,85021
1772,"adapangia",43556,\N
1774,"adapangia",64039,\N
1776,"adapangia",69794,\N
1780,"adapangia",72315,\N
1785,"adapangia",52980,\N
1701,"adaties",\N,10182
1702,"adaties",\N,8611
1703,"adaties",\N,8885
1704,"adaties",\N,5039
1707,"adaties",\N,10869
1709,"adaties",\N,4589
1711,"adaties",\N,18275
1712,"adaties",\N,6127
1713,"adaties",\N,1936
1715,"adaties",\N,10216
1722,"adaties",\N,10539
1723,"adaties",\N,13238
1724,"adaties",\N,13564
1726,"adaties",\N,7013
1727,"adaties",\N,12628
1729,"adaties",\N,13115
1731,"adaties",\N,12772
1732,"adaties",\N,9745
1735,"adaties",\N,14548
1738,"adaties",\N,7068
1739,"adaties",\N,4803
1741,"adaties",\N,8159
1742,"adaties",\N,3251
1743,"adaties",\N,1026
1751,"adaties",\N,2681
1752,"adaties",\N,3911
1753,"adaties",\N,5158
1754,"adaties",\N,991
1760,"adaties",\N,15351
1761,"adaties",\N,2484
1762,"adaties",\N,152
1766,"adaties",\N,8056
1772,"adaties",2137,\N
1780,"adaties",5294,\N
1785,"adaties",5309,\N
1787,"adaties",6616,\N
1779,"adersja",856,\N
1702,"afbreekboot",\N,3925
1703,"afbreekboot",\N,6336
1704,"afbreekboot",\N,5282
1711,"afbreekboot",3133,\N
1712,"afbreekboot",3152,\N
1713,"afbreekboot",1200,\N
1715,"afbreekboot",2922,\N
1723,"afbreekboot",600,\N
1724,"afbreekboot",8591,\N
1726,"afbreekboot",2448,\N
1727,"afbreekboot",4911,2093
1729,"afbreekboot",4210,\N
1731,"afbreekboot",3985,\N
1741,"afbreekboot",\N,1250
1753,"afbreekboot",\N,1442
1762,"afbreekboot",\N,1534
1763,"afbreekboot",\N,1133
1774,"afbreekboot",1339,\N
1703,"afbreekschuit",\N,375
1704,"afbreekschuit",\N,582
1711,"afbreekschuit",900,520
1712,"afbreekschuit",190,819
1713,"afbreekschuit",385,\N
1715,"afbreekschuit",795,386
1726,"afbreekschuit",996,\N
1727,"afbreekschuit",746,\N
1729,"afbreekschuit",620,\N
1731,"afbreekschuit",400,\N
1711,"afbreeksloep",779,\N
1712,"afbreeksloep",1012,\N
1713,"afbreeksloep",180,\N
1715,"afbreeksloep",1096,\N
1727,"afbreeksloep",600,\N
1729,"afbreeksloep",540,\N
1731,"afbreeksloep",780,\N
1701,"affuit",\N,840
1702,"affuit",\N,9710
1703,"affuit",\N,4920
1704,"affuit",\N,900
1707,"affuit",\N,2850
1709,"affuit",346,3686
1722,"affuit",\N,125
1726,"affuit",\N,180
1729,"affuit",\N,55
1751,"affuit",\N,204
1766,"affuit",\N,156
1769,"affuit",432,\N
1772,"affuit",227,\N
1773,"affuit",\N,\N
1774,"affuit",0,\N
1782,"affuit",\N,\N
1785,"affuit",248,\N
1790,"affuit",1292,\N
1707,"affuitbalk",\N,63
1711,"affuithout",0,\N
1759,"affuitijzer",\N,120
1760,"affuitijzer",\N,300
1761,"affuitijzer",\N,300
1701,"affuitplank",\N,1060
1702,"affuitplank",\N,947
1703,"affuitplank",\N,112
1704,"affuitplank",\N,446
1707,"affuitplank",\N,240
1709,"affuitplank",\N,680
1711,"affuitplank",2177,396
1712,"affuitplank",\N,1304
1722,"affuitplank",\N,1296
1723,"affuitplank",\N,1620
1724,"affuitplank",\N,1633
1727,"affuitplank",\N,260
1707,"affuitrad",\N,328
1724,"affuitvelling",\N,44
1735,"affuitvelling",\N,93
1774,"affuitvelling",0,\N
1701,"affuitzwalp",\N,1255
1702,"affuitzwalp",\N,1507
1703,"affuitzwalp",\N,824
1704,"affuitzwalp",\N,600
1707,"affuitzwalp",\N,894
1709,"affuitzwalp",\N,2004
1711,"affuitzwalp",\N,2146
1712,"affuitzwalp",\N,1633
1713,"affuitzwalp",\N,882
1715,"affuitzwalp",\N,249
1722,"affuitzwalp",\N,1300
1723,"affuitzwalp",\N,1657
1724,"affuitzwalp",\N,2049
1726,"affuitzwalp",\N,775
1727,"affuitzwalp",\N,1051
1729,"affuitzwalp",\N,3932
1738,"affuitzwalp",\N,550
1739,"affuitzwalp",\N,308
1742,"affuitzwalp",\N,262
1743,"affuitzwalp",\N,100
1751,"affuitzwalp",\N,292
1752,"affuitzwalp",\N,796
1757,"affuitzwalp",\N,207
1759,"affuitzwalp",\N,663
1760,"affuitzwalp",\N,1267
1761,"affuitzwalp",\N,158
1785,"afpakking",8,\N
1783,"afscheepsongelden",1801,\N
1801,"afscheepsongelden",2343,\N
1701,"agalgaren",\N,2
1703,"agalgaren",\N,0
1801,"agalgaren",0,\N
1701,"agelhout",\N,3984
1704,"agelhout",\N,256
1707,"agelhout",\N,770
1709,"agelhout",\N,1509
1711,"agelhout",\N,1733
1712,"agelhout",\N,1526
1713,"agelhout",\N,195
1715,"agelhout",\N,488
1722,"agelhout",\N,2109
1723,"agelhout",\N,372
1724,"agelhout",\N,1042
1726,"agelhout",\N,376
1727,"agelhout",\N,1579
1729,"agelhout",\N,1223
1731,"agelhout",\N,10868
1732,"agelhout",188,1317
1735,"agelhout",\N,2367
1738,"agelhout",\N,752
1739,"agelhout",\N,753
1754,"agelhout",\N,12737
1769,"agio",0,\N
1772,"agio",36,\N
1773,"agio",4,\N
1774,"agio",13,\N
1775,"agio",146,\N
1776,"agio",13,\N
1777,"agio",394,\N
1778,"agio",1062,\N
1779,"agio",558,\N
1780,"agio",9,\N
1781,"agio",1023,\N
1782,"agio",135,\N
1783,"agio",442,\N
1785,"agio",99,\N
1787,"agio",179,\N
1790,"agio",5503,\N
1713,"aker",\N,\N
1757,"akte",\N,\N
1761,"akte",\N,\N
1764,"akte",\N,19
1773,"akte",60,\N
1703,"aliabalijs",\N,2744
1704,"aliabalijs",\N,657
1711,"aliabalijs",\N,15035
1715,"aliabalijs",\N,26062
1729,"aliabalijs",\N,6519
1731,"aliabalijs",\N,8152
1735,"aliabalijs",\N,7709
1738,"aliabalijs",\N,15273
1739,"aliabalijs",\N,17946
1741,"aliabalijs",\N,8031
1743,"aliabalijs",\N,2268
1753,"aliabalijs",\N,2095
1755,"aliabalijs",\N,814
1772,"aliabalijs",7452,\N
1773,"aliabalijs",5706,\N
1774,"aliabalijs",7421,\N
1775,"aliabalijs",9322,\N
1776,"aliabalijs",3200,\N
1777,"aliabalijs",15026,\N
1778,"aliabalijs",14408,\N
1780,"aliabalijs",9150,\N
1785,"aliabalijs",8015,\N
1787,"aliabalijs",1111,\N
1701,"alibanees",\N,20192
1702,"alibanees",\N,34751
1703,"alibanees",\N,52282
1704,"alibanees",\N,64162
1707,"alibanees",\N,36552
1709,"alibanees",\N,28375
1711,"alibanees",\N,36839
1712,"alibanees",\N,57544
1713,"alibanees",\N,39313
1715,"alibanees",\N,26454
1722,"alibanees",\N,59553
1723,"alibanees",\N,62421
