"jaar","Amboina","Banda","Bandjermasin","Bantam","Batavia","Bengalen","Ceylon","Cheribon","Coromandel","Nagasaki","Java's Noord-Oost-kust","Kaap de Goede Hoop","Macassar","Malabar","Malacca","Mokka","Palembang","Perzie","Rio de Lagoa","Siam",Sumatra's Westkust,"Surat","Ternate","Timor","Pontiana(k)"
1761,946,0,57,223,8183,874,43,0,1127,15,1638,1386,814,963,492,0,104,200,0,10,325,150,676,136,0
1762,0,659,0,302,4562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,947,592,0,0,0,322,5632,0,950,0,1564,1340,819,1066,407,0,0,171,0,0,297,147,688,0,0
1764,1055,548,53,0,5253,334,6628,93,950,0,1596,1616,817,1052,414,0,98,0,0,4,235,76,698,109,0
1765,1102,599,47,302,5023,325,6323,80,918,13,1482,1489,841,959,469,0,104,0,0,4,248,58,827,65,0
1766,1093,583,44,311,5052,313,5670,98,1254,13,1558,1689,849,970,484,0,73,0,0,0,248,55,788,74,0
1767,1039,562,45,319,5644,346,4734,0,875,12,1980,1554,894,862,484,0,85,0,0,0,422,57,871,60,0
1768,1215,578,0,317,5490,330,4745,94,915,0,2119,1579,825,759,508,0,96,0,0,0,251,67,0,72,0
1769,1189,561,43,307,5237,320,4595,97,914,10,2067,1695,860,661,591,0,138,0,0,0,280,64,862,63,0
1770,1149,610,43,333,5822,347,4527,93,880,12,1852,1704,868,688,541,0,108,0,0,0,290,90,838,63,0
1771,1266,620,55,309,5056,316,4401,100,901,13,1956,1800,829,649,597,0,109,0,0,0,301,106,862,71,0
1772,1189,482,52,259,4441,237,4361,93,962,16,1770,1963,786,624,551,0,110,0,0,0,284,103,801,63,0
1773,1247,470,54,217,4058,202,4227,100,1043,14,1775,2165,807,669,539,0,102,0,0,0,234,167,771,62,0
1774,1274,513,53,198,4126,244,4075,86,1285,15,1649,2151,786,666,502,0,109,0,0,0,214,87,748,61,0
1775,1190,510,39,259,4810,202,4205,91,1174,0,1799,2020,793,743,561,0,107,0,0,0,176,65,743,58,0
1776,1117,515,32,327,4830,200,4072,97,1168,12,2042,1981,797,867,499,0,106,0,0,0,175,62,752,67,0
1777,1072,511,34,282,4221,203,3811,98,1175,14,2045,1790,852,1110,517,0,115,0,0,0,171,60,847,70,0
1778,1062,511,37,252,3721,204,3815,101,1031,11,1870,1614,1132,1129,543,0,109,0,0,0,189,61,814,56,0
1779,1017,514,44,224,3111,188,3695,0,946,10,1886,1656,957,1116,491,0,128,0,0,0,178,61,901,49,95
1780,1042,497,39,209,3283,205,3784,77,775,12,1849,1687,902,949,477,0,140,0,0,0,170,56,859,68,87
1781,1043,495,46,199,3446,89,3862,78,0,11,1877,1794,826,906,520,0,121,0,0,0,0,0,780,62,90
1782,1388,570,51,244,3275,0,4281,66,0,0,3142,2177,835,3971,756,0,109,0,0,0,0,0,774,55,57
1783,1444,568,37,233,2978,0,4124,62,0,12,1735,1918,815,3929,1501,0,107,0,0,0,0,0,771,57,56
1784,1349,568,46,236,3612,0,3707,79,0,11,2079,1904,784,2123,1231,0,88,o,0,0,0,0,738,59,39
1785,1381,585,57,247,4234,125,4882,76,0,11,1868,2155,762,1667,542,0,99,0,0,0,0,25,803,60,68
1786,1125,602,251,250,4259,149,4898,85,191,12,2080,2316,836,1564,663,0,118,0,0,0,140,155,817,61,61
1787,1115,583,268,257,4245,156,4693,80,0,12,2348,2913,802,1653,509,0,124,0,0,0,154,162,817,74,66
1788,1153,607,315,239,4194,148,4459,86,0,14,2935,3245,962,2290,804,0,125,0,0,0,183,42,846,80,87
1789,1085,608,385,240,4410,166,3568,90,0,12,2603,3392,1027,0,744,0,138,0,0,0,132,34,866,82,108
