"ID";"Place";"DecLatitude";"DecLongitude";"ModernName";"Dutch"
"348";"Cape Razier";"48.8573";"-64.2053";"Cap-des-Rosiers";NULL
"349";"Cape Resolution, HB";"61.3711";"-64.7403";NULL;NULL
"350";"Cape Roca";"38.7819";"-9.4972";"Cape Roxent";"Kaap Roxent"
"351";"Cape Rogue";"38.7819";"-9.4972";"Cape Roxent";"Kaap Roxent"
"352";"Cape Roque";"-5.4833";"-35.2667";"Cabo de Sao Roque";NULL
"353";"Cape Rosulgate";"22.5356";"59.7951";"Ra's Al Hadd";NULL
"354";"Cape Roxant";"38.7819";"-9.4972";"Cape Roxent";"Kaap Roxent"
"355";"Cape Roxen";"38.7819";"-9.4972";"Cape Roxent";"Kaap Roxent"
"356";"Cape Roxent";"38.7819";"-9.4972";"Cape Roxent";"Kaap Roxent"
"357";"Cape Roxint";"38.7819";"-9.4972";"Cape Roxent";"Kaap Roxent"
"358";"Cape Roy";"47.6307";"-59.2964";"Cape Ray, Newfoundland, Canada";NULL
"359";"Cape Rozier";"48.8573";"-64.2053";"Cap-des-Rosiers";NULL
"360";"Cape Russelgate";"22.5356";"59.7951";"Ra's Al Hadd";NULL
"361";"Cape Sable";"43.4537";"-65.6101";"Cape Sable Island";NULL
"362";"Cape Samboro";"44.4582";"-63.5871";"Cape Sambro (NS)";NULL
"363";"Cape Samborough";"44.4582";"-63.5871";"Cape Sambro (NS)";NULL
"364";"Cape Sambra";"44.4582";"-63.5871";"Cape Sambro (NS)";NULL
"365";"Cape Sambro";"44.4582";"-63.5871";"Cape Sambro (NS)";NULL
"366";"Cape Sambrough";"44.4582";"-63.5871";"Cape Sambro (NS)";NULL
"367";"Cape San Lucas, Baja California, Mexico";"22.8769";"-109.9";NULL;NULL
"368";"Cape Sancto";"-5.4833";"-35.2667";"Cabo de Sao Roque";NULL
"369";"Cape Sancto Rock";"-5.4833";"-35.2667";"Cabo de Sao Roque";NULL
"370";"Cape Serra Lion";"8.4972";"-13.2882";"Cape Sierra Leone";NULL
"371";"Cape Serrlione";"8.4972";"-13.2882";"Cape Sierra Leone";NULL
"372";"Cape Sieraliona";"8.4972";"-13.2882";"Cape Sierra Leone";NULL
"373";"Cape Sierliona";"8.4972";"-13.2882";"Cape Sierra Leone";NULL
"374";"Cape Sierra Leon";"8.4972";"-13.2882";"Cape Sierra Leone";NULL
"375";"Cape Sierra Leone";"8.4972";"-13.2882";"Cape Sierra Leone";NULL
"376";"Cape Smith";"60.7362";"-78.6136";NULL;NULL
"377";"Cape Spartel";"35.7875";"-5.9182";"Cap Spartel";NULL
"378";"Cape Spartell";"35.7875";"-5.9182";"Cap Spartel";NULL
"379";"Cape Spear";"47.5237";"-52.6212";NULL;NULL
"380";"Cape Spitchell";"38.4153";"-9.2166";"Cabo Espichel";NULL
"381";"Cape St Anthony, Argentina";"-36.2901";"-56.7813";NULL;NULL
"382";"Cape St Augustin (Recife)";"-8.35";"-34.95";"Cabo de Santo Agotinho";NULL
"383";"Cape St Augustine";"-8.35";"-34.95";"Cabo de Santo Agotinho";NULL
"384";"Cape St Cyprian";"43.7005";"-7.4368";"Cabo San Cipran";NULL
"385";"Cape St Diego";"-54.65";"-65.1167";"Cabo San Diego";NULL
"386";"Cape St Francis";"47.7961";"-52.8025";NULL;NULL
"387";"Cape St George";"48.4787";"-59.2534";"Cape St. Georges";NULL
"388";"Cape St Johns";"21.080207824707";"72.6800231933594";"Surat, Gujarat, India";NULL
"389";"Cape St Lucia";"-28.5333";"32.4";"Cape St Lucia";NULL
"390";"Cape St Maria";"45.0412";"-61.8531";"Nova Scotia";NULL
"391";"Cape St Maries";"13.4887";"-16.6673";"Cape Saint Mary";NULL
"392";"Cape St Maries, New Foundland";"46.816";"-54.177";"Cape St Mary";NULL
"393";"Cape St Mary";"13.4887";"-16.6673";"Cape Saint Mary";NULL
"394";"Cape St Mary, Rio de la Plata";"-34.6683";"-54.1533";"Cabo Santa Maria";NULL
"395";"Cape St Marys";"13.4887";"-16.6673";"Cape Saint Mary";NULL
"396";"Cape St Mary's";"13.4887";"-16.6673";"Cape Saint Mary";NULL
"397";"Cape St Marys (NS)";"45.0412";"-61.8531";"Nova Scotia";NULL
"398";"Cape St Mary's, Madagascar";"-25.6";"45.15";NULL;NULL
"399";"Cape St Roque";"-5.4833";"-35.2667";"Cabo de Sao Roque";NULL
"400";"Cape St Vincent";"37.0233";"-8.9972";NULL;NULL
"401";"Cape Three Points";"4.7457";"-2.089";NULL;NULL
"402";"Cape Three Points (Tres Puntas), W Afr.";"4.7457";"-2.089";NULL;NULL
"403";"Cape Tiberoon";"18.319";"-74.3993";"Cap Tiburon, Haiti";NULL
"404";"Cape Town";"-33.9153";"18.4114";"Cape Town";"Kaapstad"
"405";"Cape Tres Farces";"35.4286";"-2.9677";"Cabo Tres Forcas";NULL
"406";"Cape Verd";"14.7239";"-17.5016";"Cap Vert";NULL
"407";"Cape Verde";"14.7239";"-17.5016";"Cap Vert";NULL
"408";"Cape Virgin";"-52.42";"-68.4265";"Cabo Virgenes";NULL
"409";"Cape Virgin Mary";"-52.42";"-68.4265";"Cabo Virgenes";NULL
"410";"Cape Virgin Mary, Argentina (C.Virgenes)";"-52.42";"-68.4265";"Cabo Virgenes";NULL
"411";"Cape Walsingham, Diggs island";"62.5717";"-78.0889";NULL;NULL
"412";"Carbonera";"36.9969";"-1.8921";"Carboneras, Spain";NULL
"413";"Carenage Entrance";"14.5997";"-61.0724";"Fort-de-France, Martinique";NULL
"414";"Carlisle baai, Barbados";"13.0918";"-59.6162";"Carlisle Bay, Barbados";NULL
"415";"Carlisle Bay";"13.0918";"-59.6162";"Carlisle Bay, Barbados";NULL
"416";"Carnar";"14.82361111";"74.10291111";"Karwar, India";NULL
"417";"Carrick Road";"50.1778";"-5.0339";"Carrick Roads, Cornwall, England";NULL
"418";"Cartagena";"37.5985";"-0.9825";"Cartagena, Spain";NULL
"419";"Casserijen";"21.95";"88";"Khajuri, W Bengal, India";NULL
"420";"Castle Island";"51.9831";"-55.8445";"Castle Island, Labrador, Canada";NULL
"421";"Castries";"51.4662";"140.7755";"De Kastri, Rusia";NULL
"422";"Catanduanes";"13.75";"124.3";"Catanduanes";NULL
"423";"Cavite";"14.482";"120.9029";"Cavite";NULL
"424";"Cayenne";"4.9357";"-52.3305";"Cayenne, French Guiana";NULL
"425";"Cazco Bay";"43.7";"-70.05";"Casco Bay";NULL
"426";"Chain Island";"-17.5";"-145.5";"Anaa";NULL
"427";"Chapeau Rouge";"47.3793";"-54.1893";"Red Island, Newfoundland, Canada";NULL
"428";"Charillo";"-12.1707";"-77.0349";"Chorrillos, Peru";NULL
"429";"Charles Isl, E end HB";"62.6";"-74";NULL;NULL
"430";"Charles Town";"32.7746";"-79.9264";NULL;NULL
"431";"Charles Town (Charleston)";"32.7746";"-79.9264";NULL;NULL
"432";"Charles town Lighthouse";"32.7579";"-79.8432";NULL;NULL
"433";"Charlestown";"32.7746";"-79.9264";NULL;NULL
"434";"Charlestown/Cape Charles, Virginia";"37.1176";"-75.9073";NULL;NULL
"435";"Chebukta Harbour";"44.4982";"-63.5246";"Chebukto";NULL
"436";"Cherebon Flagstaff";"-6.7";"108.5667";"Ceribon, Java, Indonesia";NULL
"437";"Cherebon Road";"-6.695";"108.5841";"Ceribon, Java, Indonesia";NULL
"438";"Cherillos";"-12.1707";"-77.0349";"Chorrillos, Peru";NULL
"439";"Chilley Anderman";"12.95";"92.86";"Andaman Islands, India";NULL
"440";"Christiaan Zand";"58.145";"7.9964";"Kristiansand, Norway";NULL
"441";"Christmas Island";"-10.4298";"105.6807";"Christmas Island, Indian Ocean";NULL
"442";"Christova";"-16.3333";"43.9667";"Chesterfield Islet";NULL
"443";"Churchill river, fort Prince Rupert";"58.7809";"-94.2102";NULL;NULL
"444";"Clapper Eiland";"-7";"105.55";"Pulau Deli, Java, Indonesia";NULL
"445";"Clarence Cove";"3.7581";"8.78";"Malabo";NULL
"446";"Coal Harbour";"59.3933";"-151.9004";"Coal Cove";NULL
"447";"Cochim";"9.9692";"76.2346";"Cochin";NULL
"448";"Cochin";"9.9692";"76.2346";"Cochin";NULL
"449";"Coco Island, Bay of Bengal";"14.1144";"93.367";NULL;NULL
"450";"Cocos (Keeling) Isl";"-12.177";"96.8234";"Cocos (Keeling) Island, Australia";NULL
"451";"Cocos Island (Pacific)";"13.4585";"144.7698";"Guam, Pacific Ocean";NULL
"452";"Cocos Islands";"-12.177";"96.8234";"Cocos (Keeling) Island, Australia";NULL
"453";"Coepang";"-10.1539";"123.5807";"Kupang, Timor, Indonesia";NULL
"454";"Coffin Land";"32.4393";"-80.4748";"Coffin Point, South Carolina, USA";NULL
"455";"Collemoye";"10.2833";"79.8833";"Kodikkarai, Tamil Nadu, India";NULL
"456";"Colombo";"6.9357";"79.8425";"Colombo, Sri Lanka";NULL
"457";"Colombo, Sri Lanka";"6.9357";"79.8425";"Colombo, Sri Lanka";NULL
"458";"Colombos";"6.9357";"79.8425";"Colombo, Sri Lanka";NULL
"459";"Columba";"6.9357";"79.8425";"Colombo, Sri Lanka";NULL
"460";"Colvo";"39.7025";"-31.1016";"Corvo, Azores";NULL
"461";"Comaro";"-11.75";"43.35";"Ile Grande Comore";NULL
"462";"Comendo";"5.0503";"-1.4873";"Komenda Point";NULL
"463";"Comero";"-11.75";"43.35";"Ile Grande Comore";NULL
"464";"Comero Islands";"-11.75";"43.35";"Ile Grande Comore";NULL
"465";"Commenda";"5.0503";"-1.4873";"Komenda Point";NULL
"466";"Commendo";"5.0503";"-1.4873";"Komenda Point";NULL
"467";"Comora";"-11.75";"43.35";"Ile Grande Comore";NULL
"468";"Comore, Comoro Islands (near Madagascar)";"-11.75";"43.35";"Ile Grande Comore";NULL
"469";"Comorin";"-11.75";"43.35";"Ile Grande Comore";NULL
"470";"Comoro";"-11.75";"43.35";"Ile Grande Comore";NULL
"471";"Constapels";"4.8125";"-52.0217";"Ile du Connetable";NULL
"472";"Coopers Island";"-6.0395";"106.7359";NULL;"Kuipers Eiland"
"473";"Coquimbo";"-29.95";"-71.325";NULL;NULL
"474";"Corantijn rivier?";"5.9163";"-57.1098";"Courantijn River, Guyana";NULL
"475";"Cork Head";"51.7445";"-8.3042";NULL;NULL
"476";"Cormais (Caicos)";"21.8";"-71.75";"Grand Caicos Island";NULL
"477";"Corvo";"39.7025";"-31.1016";"Corvo, Azores";NULL
"478";"Couchin";"9.9692";"76.2346";"Cochin";NULL
"479";"Courantijn";"5.9163";"-57.1098";"Courantijn River, Guyana";NULL
"480";"Cowes";"50.7586";"-1.295";"Cowes, op Isle of Wight";NULL
"481";"Cracatoa";"-6.15";"105.43";"Krakatau, Indonesia";NULL
"482";"Crangenoor";"10.1818";"76.1666";"Cranganur, Kerala, India";NULL
"483";"Crew Setra";"4.899";"-8.8468";"Settra Kru, Liberia, Africa";NULL
"484";"Crooked Island";"22.7362";"-74.1985";"Crooked Island";NULL
"485";"Crooked Island (Bahamas)";"22.7362";"-74.1985";"Crooked Island";NULL
"486";"Crooked Island (Passage)";"22.8333";"-74.6";"Crooked Island Passage";NULL
"487";"Croque, Newfoundland";"51.0483";"-55.8";"Croque Harbour";NULL
"488";"Cuba";"23.0318";"-81.6908";"Cuba, La Habana (Havana)";NULL
"489";"Cumana";"10.4702";"-64.1911";"Cumana, Venezuela";NULL
"490";"Cumberland Harbour";"20";"-75.1333";"Guantanamo Bay, Cuba";NULL
"491";"Curacao";"12.1039";"-68.9337";"Willemstad, Curacao, Nederlandse Antillen";NULL
"492";"Curacao, voor het Waaigat";"12.0911";"-68.9212";"Waaigat, Willemstad, Curacao, Nederlandse Antillen";NULL
"493";"Dabul";"17.5849";"73.1768";"Dabhol, Maharashtra, India";NULL
"494";"Dageraad";"5.8556";"-57.6807";NULL;NULL
"495";"Dallago Bay";"-26";"32.75";"Baia de Maputo";NULL
"496";"Danger Island";"-10.88";"-165.82";"Pukapuka";NULL
"497";"Dartmouth";"50.3416";"-3.5657";"Dartmouth Castle";NULL
"498";"Dasseneiland";"-33.4237";"18.086";"Dasseneiland, South Africa";NULL
"499";"Dauphin Bay, Madagascar";"-25.0239";"47";"Baie de Fort Dauphin";NULL
"500";"Davilican baai";"17.35";"122.3";"Divilacan Bay, Luzon, Philippines";NULL
"501";"De Goede Rheede";"51.8187";"3.9807";"Goedereede, Netherlands";NULL
"502";"De Singels";"50.6667";"-1.6";"Shingles, Isle of Wight";NULL
"503";"De Vlieter";"53";"5.01";"De Vlieter";NULL
"504";"Deal";"51.2229";"1.4029";"Deal";NULL
"505";"Dear Sound";"58.9564";"-2.8114";"Deer Sound";NULL
"506";"Decima";"32.7415";"129.8689";"Nagasaki, Japan";NULL
"507";"Del Feugo";"14.9499";"-24.3403";"Fogo, Cabo Verde, Africa";NULL
"508";"Dellago Bay";"-26";"32.75";"Baia de Maputo";NULL
"509";"d'Elmina";"5.083";"-1.3477";"Elmina, Ghana, Africa";NULL
"510";"Demmerarij";"6.8204";"-58.1608";"Georgetown (Demerara), Guyana";NULL
"511";"Demmerarije";"6.8204";"-58.1608";"Georgetown (Demerara), Guyana";NULL
"512";"Den Helder";"52.9562";"4.7631";"Den Helder, The Netherlands";NULL
"513";"Descada";"16.33";"-61.02";"Ile de la Desirade";NULL
"514";"Descardo";"16.33";"-61.02";"Ile de la Desirade";NULL
"515";"DESCONOCIDO";"0";"0";NULL;NULL
"516";"Desirada";"16.33";"-61.02";"Ile de la Desirade";NULL
"517";"Desseada (Desirada)";"16.33";"-61.02";"Ile de la Desirade";NULL
"518";"Dicks Cove";"4.793";"-1.9469";"Dixcove";NULL
"519";"Diego Bay (Rodrigues Isl?)";"-19.7231";"63.4096";"Gambrani Island";NULL
"520";"Diego Garcia";"-7.3138";"72.4161";"Diego Garcia";NULL
"521";"Diego Ramirez Island";"-56.5";"-68.7";"Islas Diego Ramirez";NULL
"522";"Diego Ray";"-19.7231";"63.4096";"Gambrani Island";NULL
"523";"Diego Ray (Rodriguez)";"-19.7231";"63.4096";"Gambrani Island";NULL
"524";"Diego Ray or Rodrigues";"-19.7231";"63.4096";"Gambrani Island";NULL
"525";"Diego Rays";"-19.7231";"63.4096";"Gambrani Island";NULL
"526";"Diego Rays (Rodriques)";"-19.7231";"63.4096";"Gambrani Island";NULL
"527";"Diego Ries";"-19.7231";"63.4096";"Gambrani Island";NULL
"528";"Diggs island W end";"62.5717";"-78.0889";NULL;NULL
"529";"Dodman";"50.2214";"-4.8017";"Dodman Point";NULL
"530";"Dodman Point";"50.2214";"-4.8017";NULL;NULL
"531";"Dog Island";"18.2783";"-63.2524";NULL;NULL
"532";"Dolphin Nose";"17.669";"83.2532";NULL;NULL
"533";"Don Mascaramus";"-20.9438";"55.3025";NULL;NULL
"534";"Dondra Head, S point Sri Lanka";"5.9251";"80.5898";"Dondra Head";NULL
"535";"Doodkist van Sedaijo";"-7.0429";"112.6448";NULL;NULL
"536";"Duins";"51.2";"1.42";"The Downs";NULL
"537";"Duke of York";"-8.67";"-172.67";"Atafu (Tokelau)";NULL
"538";"Dunder Head";"5.9251";"80.5898";"Dondra Head";NULL
"539";"Dunderhead";"5.9251";"80.5898";"Dondra Head";NULL
"540";"Dundre Head";"5.9251";"80.5898";"Dondra Head";NULL
"541";"Dungenes";"50.916";"0.9745";"Dungeness, England";NULL
"542";"Dungeness";"50.916";"0.9745";"Dungeness, England";NULL
"543";"Dunnose";"50.6059";"-1.1768";NULL;NULL
"544";"Dunnoze";"50.6059";"-1.1768";NULL;NULL
"545";"Dunose";"50.6059";"-1.1768";NULL;NULL
"546";"Dunose, Isle of Wight";"50.6059";"-1.1768";NULL;NULL
"547";"Dwars in de Weg";"-5.95";"105.85";"Pulo Sangian, Java, Indonesia, Asia";NULL
"548";"E pt of Java";"-8.7183";"114.5269";NULL;NULL
"549";"East end of Porto Rico";"18.2333";"-65.6";NULL;NULL
"550";"East most part of Crooked Island";"22.7164";"-74.0299";"Crooked Island";NULL
"551";"Eddystone";"50.18";"-4.265";"Eddystone Lighthouse";NULL
"552";"Eddystone, Falklands";"-51.2";"-59.0333";NULL;NULL
"553";"Edystone";"50.18";"-4.265";"Eddystone Lighthouse";NULL
"554";"El Callao";"-12.0484";"-77.1499";"Callao, Peru";NULL
"555";"Elephant Bay, Angola (Namibe)";"-13.2167";"12.7333";"Baia dos Elefantes";NULL
"556";"Eliphant on Celone";"6.3333";"81.5";"Elephant Rock";NULL
"557";"Elmina";"5.083";"-1.3477";"Elmina, Ghana, Africa";NULL
"558";"Engano";"-5.4";"102.25";"Pulau Enggano";NULL
"559";"Enggano Island, off Sumatra";"-5.4";"102.25";"Pulau Enggano";NULL
"560";"English Harbour";"17.0063";"-61.7603";"English Harbour, Antigua and Barbados, America";NULL
"561";"English harbour, Antigua";"17.0063";"-61.7603";"English Harbour, Antigua and Barbados, America";NULL
"562";"Enigorla Rocks";"15.8625";"73.616";"Vengurla, Maharashtra, India";NULL
"563";"Ensenada de la Escombrera";"37.5683";"-0.9552";NULL;NULL
"564";"ES_0_01";"0";"-20";NULL;NULL
"565";"ES_0_02";"0";"-107";NULL;NULL
"566";"ES_0_03";"0";"-15";NULL;NULL
"567";"ES_0_05";"0";"-12";NULL;NULL
"568";"ES_0_10";"0";"5";NULL;NULL
"569";"ES_0_13";"0";"-15.5";NULL;NULL
"570";"Estacio";"17.5064";"-62.9727";"Sint Eustatius, WI";NULL
"571";"Eustachius";"17.5064";"-62.9727";"Sint Eustatius, WI";NULL
"572";"Eustatius";"17.5064";"-62.9727";"Sint Eustatius, WI";NULL
"573";"Faeroer isl. (Torshavn)";"62.0167";"-6.7667";NULL;NULL
"574";"Faial";"38.5803";"-28.7207";"Faial, Azores";NULL
"575";"Fairley";"50.335";"-4.6364";"Fowey";NULL
"576";"Falmouth";"50.1561";"-5.0707";"Falmouth, United Kingdom";NULL
"577";"Fancheaul";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"578";"Faro";"62.1333";"-7.0201";"Faroe";NULL
"579";"Fayal";"38.5803";"-28.7207";"Faial, Azores";NULL
"580";"Fayal Road";"38.5315";"-28.6234";"Baia da Horta, Azores";NULL
"581";"Fayall";"38.5803";"-28.7207";"Faial, Azores";NULL
"582";"Fayrhill";"59.5451";"-1.6282";"Fair Isle";NULL
"583";"Ferdinando";"-3.85";"-32.42";"Ilha Fernando de Noronha";NULL
"584";"Ferdinando Loronha";"-3.85";"-32.42";"Ilha Fernando de Noronha";NULL
"585";"Ferdinando Loronho";"-3.85";"-32.42";"Ilha Fernando de Noronha";NULL
"586";"Fermosa";"46.9604";"-52.9";"Fermeuse, Newfoundland, Canada";NULL
"587";"Fernando de Noronha";"-3.85";"-32.42";"Ilha Fernando de Noronha";NULL
"588";"Fernando Noronha";"-3.85";"-32.42";"Ilha Fernando de Noronha";NULL
"589";"Ferro";"27.7299";"-18.0099";"El Hierro";NULL
"590";"Ferro (Hierro), Canaries (Valveride)";"27.7299";"-18.0099";"El Hierro";NULL
"591";"Ferrol";"43.4853";"-8.2258";"El Ferrol, Spain";NULL
"592";"Fials en Simonsbaay";"-34.1833";"18.5";"False and Simons Bay";"Valse- en Simonsbaai"
"593";"Fidor";"0.6633";"127.4032";"Tidore, Indonesia, Asia";NULL
"594";"Finisterre";"42.88";"-9.27";NULL;NULL
"595";"Flat Point";"-5.92";"104.55";"Tjukuh Balimbing";"Vlakke Hoek"
"596";"Flatt Point";"-3.5237";"111.8439";"Tanjung Puting";NULL
"597";"Florado";"25.6666";"-80.156";"Cape Florida??";NULL
"598";"Flores";"39.4613";"-31.2248";"Flores, Azores";NULL
"599";"Fogo";"14.9499";"-24.3403";"Fogo, Cabo Verde, Africa";NULL
"600";"Folkstond";"51.0778";"1.1888";"Folkestone, United Kingdo";NULL
"601";"Fonchieal Road";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"602";"Fonciaal";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"603";"Fonsiael";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"604";"Fonsial";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"605";"Fonsijaal";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"606";"Fontiaal";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"607";"Fontiael";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"608";"Forland";"51.3713";"1.4435";NULL;NULL
"609";"Formosa";"23.4718";"120.9597";"Taiwan";NULL
"610";"Fort Albany, Hudson Bay";"52.2997";"-81.5067";NULL;NULL
"611";"Fort Amsterdam";"5.8884";"-55.0917";"Mouth of Surinam river, Surinam, South America";NULL
"612";"Fort Axim";"4.8679";"-2.2444";"Fort Saint Anthony";NULL
"613";"Fort Bottrou";"4.8237";"-1.9174";"Butre";NULL
"614";"Fort Dauphin";"-25.03";"47";"Tolanaro, E Madagascar";NULL
"615";"Fort Dauphin Bay, Madagascar";"-25.0239";"47";"Baie de Fort Dauphin";NULL
"616";"Fort Duurstede, Saparoea";"-3.5604";"128.6648";NULL;NULL
"617";"Fort Hollandia";"4.7912";"-2.1339";"Cape Three Points, Ghana, Africa";NULL
"618";"Fort N Amsterdam";"5.8884";"-55.0917";"Nieuw Amsterdam, Surinam";NULL
"619";"Fort Nassau";"5.7801";"-57.631";NULL;NULL
"620";"Fort Orange te Soerabaya";"-7.23";"112.7";"Surabaya, Java, Indonesia";NULL
"621";"Fort Oranje";"0.7723";"127.3744";"Ternate, Moluccas, Indonesia";NULL
"622";"Fort Oranje, Ghana";"4.9374";"-1.7038";"Sekondi, Ghana, Africa";NULL
"623";"Fort Royaal, Martinique";"14.5964";"-61.0799";"Fort de France, Martinique, W.I.";NULL
"624";"Fort Royal";"14.5964";"-61.0799";"Fort de France, Martinique, W.I.";NULL
"625";"Fort St Anthony te Axim";"4.8679";"-2.2444";"Fort Saint Anthony";NULL
"626";"Fort St Antonio";"-13.0167";"-38.5333";"Forte de San Antonio de Barra";NULL
"627";"Fort St Cruz";"-22.9381";"-43.1344";"Fortaleza de Santa Cruz";NULL
"628";"Fort St David";"11.7167";"79.7833";"Cuddalore";NULL
"629";"Fort St David Road";"11.7167";"79.7833";"Cuddalore";NULL
"630";"Fort St Davids Road";"11.7167";"79.7833";"Cuddalore";NULL
"631";"Fort St Francisco";"-8.7833";"13.2667";"Luanda, Angola";NULL
"632";"Fort St George";"13.0797";"80.2869";"Fort St George, Tamil Nadu, India";NULL
"633";"Fort St George te Elmina";"5.083";"-1.3477";"Elmina, Ghana, Africa";NULL
"634";"Fort Willem Frederik/Rio Demerary";"6.7839";"-58.1807";"Georgetown (Demerara), Guyana";NULL
"635";"Fort William";"22.5559";"88.3392";"Fort William";NULL
"636";"Fort Zeelandia";"5.8252";"-55.1499";"Fort Zeelandia, Paramaribo, Suriname";NULL
"637";"Fortaventura";"28.4098";"-14.1008";"Fuerteventura";NULL
"638";"Fortres Amsterdam, Suriname";"5.8884";"-55.0917";"Nieuw Amsterdam, Surinam";NULL
"639";"Fortune Island";"14.0666666666667";"120.483333333333";NULL;NULL
"640";"Fortune Island, off Sumatra";"-1.4";"98.95";"Siberut, Indonesia";NULL
"641";"Francisco in Leando Baay";"-8.7833";"13.2667";"Luanda, Angola";NULL
"642";"Freetown";"8.4883";"-13.2382";"Freetown";NULL
"643";"Friars Hood";"7.4167";"81.5";NULL;NULL
"644";"Frier hood";"7.4167";"81.5";"Friars Hood, E Sri Lanka";NULL
"645";"Froward point";"50.3357";"-3.543";"Inner Froward Point";NULL
"646";"Fryars Hood";"7.4167";"81.5";"Friars Hood, E Sri Lanka";NULL
"647";"Fryers Hood";"7.4167";"81.5";"Friars Hood, E Sri Lanka";NULL
"648";"Fuerteventura, Canaries";"28.4098";"-14.1008";"Fuerteventura";NULL
"649";"Funchal";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"650";"Funchal Road";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"651";"Funchall";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"652";"Funchall Road";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"653";"Funchial";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"654";"Fyall";"38.5803";"-28.7207";"Faial, Azores";NULL
"655";"Fyall Bay (Azores)";"38.5315";"-28.6234";"Baia da Horta, Azores";NULL
"656";"Gale";"6.029";"80.218";"Galle";NULL
"657";"Galle";"6.029";"80.218";NULL;NULL
"658";"Galleon I, Peru (I. de las Viejas)";"-14.2728";"-76.195";"Isla Viejas";NULL
"659";"Gallio I, Colombia (Gorgona I)";"2.9668";"-78.1847";"Isla Gorgona";NULL
"660";"Gamron";"27.1719";"56.2646";"Bandar Abbas";NULL
"661";"Gasket Rock, HB fake";"56";"-80";NULL;NULL
"662";"Gibraltar";"36.1177";"-5.3458";"Gibraltar";NULL
"663";"Gida";"5.9106";"0.9919";"Keta, Ghana, Africa";NULL
"664";"Goa Road";"15.4241";"73.8438";NULL;NULL
"665";"Goa, India";"15.477";"73.774";NULL;NULL
"666";"Gods Mercier";"63.6";"-72.25";"Islands of God's Mercie";NULL
"667";"Goeree";"51.8187";"3.9807";"Goedereede, Netherlands";NULL
"668";"Gombaron (Bandar Abbas, Iran)";"27.1719";"56.2646";"Bandar Abbas";NULL
"669";"Gran Canaria, Canaries (Las Palmas)";"28.1312";"-15.4233";NULL;NULL
"670";"Grand Caicos";"21.8";"-71.75";"Grand Caicos Island";NULL
"671";"Grand Canarien";"27.9624";"-15.5661";NULL;NULL
"672";"Grand Canary";"27.9624";"-15.5661";NULL;NULL
"673";"Grand Ladaroon";"21.9474";"113.725";"Ta-Wan Shan (Great Ladrone or Man Shan)";NULL
"674";"Grand Ladrone (Guam, Marianas) (Agana)";"13.4585";"144.7698";"Guam, Pacific Ocean";NULL
"675";"Grand Ladroon";"21.9474";"113.725";"Ta-Wan Shan (Great Ladrone or Man Shan)";NULL
"676";"Grande Lebron";"21.9474";"113.725";"Ta-Wan Shan (Great Ladrone or Man Shan)";NULL
"677";"Grandmannan Island";"44.7045";"-66.8086";"Grand Manan Island";NULL
"678";"Gratiosa";"39.0327";"-28.0179";"Graciosa, Azores";NULL
"679";"Great Basses, Sri Lanka";"6.15";"81.4";NULL;NULL
"680";"Great Comoro";"-11.75";"43.35";"Ile Grande Comore";NULL
"681";"Great Table Island";"80.71";"20.78";NULL;NULL
"682";"Greenwich";"51.4769";"0";"Greenwich, London, UK";NULL
"683";"Grise";"-7.1515";"112.6598";"Gresik, Java, Indonesia";NULL
"684";"Grissee";"-7.1515";"112.6598";"Gresik, Java, Indonesia";NULL
"685";"Grizee";"-7.1515";"112.6598";"Gresik, Java, Indonesia";NULL
"686";"Groa";"47.6377";"-3.4661";"Ile de Groix";NULL
"687";"Groot Bassan";"5.1934";"-3.726";"Grand Bassam";NULL
"688";"Grote bogt van t Voorland";"78.6182";"11.5898";"Prins Karl Forland";NULL
"689";"Guadaloupe";"16.0805";"-61.6832";"Guadeloupe";NULL
"690";"Guadeloupe (Pointe a Pitre)";"16.2346";"-61.5342";"Point-a-Pitre, Guadeloupe, W.I.";NULL
"691";"Guayaquil";"-2.1838";"-79.8689";"Guayaquil, Ecuador";NULL
"692";"Guernsey";"49.4518";"-2.5786";NULL;NULL
"693";"Gulf of Paria";"10.4";"-62";"Gulf of Paria, Venezuela";NULL
"694";"Hacluits";"79.78333";"10.8";NULL;NULL
"695";"Hacluits Head Land";"79.78333";"10.8";NULL;NULL
"696";"Haclvits Head";"79.78333";"10.8";NULL;NULL
"697";"Hainan";"18.2803";"109.6438";"Hainan";NULL
