Kaap de Goede Hoop,544,0,510,556,0,0,0,0,588,500,723,618,567,636,699,697,729,741,721,800,794,1087,814,829,731,787,981,941,863,919,1000,1016,877,1112,1070,1035,1294,1062,981,1141,1211,1205,1070,1172,1204,1264,1318,1353,1067,1331,1334,1563,1439,1503,1492,1255,1465,1458,1375,1354,1386,0,1340,1616,1489,1689,1554,1579,1695,1704,1800,1963,2165,2151,2020,1981,1790,1614,1656,1687,1794,2177,1918,1904,2155,2316,2913,3245,3392
Macassar,834,825,821,817,778,685,802,768,759,821,792,749,752,869,847,795,711,689,703,770,908,921,899,986,990,978,977,979,939,907,867,878,864,1087,931,1110,1795,2004,2116,2261,2042,984,890,882,829,987,915,937,919,953,0,999,995,851,928,842,808,781,813,818,814,0,819,817,841,849,894,825,860,868,829,786,807,786,793,797,852,1132,957,902,826,835,815,784,762,836,802,962,1027
Malabar,690,0,0,780,755,0,0,0,1295,1775,1029,991,1024,1029,1452,2841,3931,2667,1309,1297,1272,1256,1234,1300,1285,1432,1545,1555,1572,1535,1664,1674,1624,1573,1635,1652,1678,1644,1881,2342,2575,3234,2769,2396,2262,1788,1115,1150,1158,1153,1264,1594,1395,1347,772,806,803,927,872,875,963,0,1066,1052,959,970,862,759,661,688,649,624,669,666,743,867,1110,1129,1116,949,906,3971,3929,2123,1667,1564,1653,2290,0
Malacca,468,414,508,491,539,503,495,446,444,435,585,618,590,593,632,544,547,537,522,582,611,590,725,728,612,619,615,627,606,592,606,622,631,619,623,562,576,622,587,648,632,583,553,546,541,541,535,503,512,462,467,468,471,452,467,689,663,732,592,526,492,0,407,414,469,484,484,508,591,541,597,551,539,502,561,499,517,543,491,477,520,756,1501,1231,542,663,509,804,744
Mokka,0,0,0,0,0,0,0,0,0,0,10,17,18,15,15,21,15,16,17,11,14,16,16,18,19,16,8,0,8,14,10,5,4,16,13,13,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palembang,93,85,75,87,85,94,85,65,72,77,83,79,100,86,81,77,81,70,67,75,124,136,118,106,98,94,106,90,107,107,96,111,134,100,118,111,114,104,91,94,119,113,105,92,79,66,71,76,131,128,109,107,83,96,124,99,97,87,92,0,104,0,0,98,104,73,85,96,138,108,109,110,102,109,107,106,115,109,128,140,121,109,107,88,99,118,124,125,138
Perzie,0,0,0,44,0,47,0,0,28,27,29,25,29,33,29,30,46,29,27,28,28,30,171,136,0,93,120,92,144,0,160,174,155,165,123,133,137,127,114,114,100,92,0,61,53,37,49,31,28,0,0,8,22,72,110,137,163,184,169,165,200,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio de Lagoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,83,120,197,204,184,192,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siam,31,0,0,28,17,0,0,0,30,25,34,16,36,38,37,36,39,40,42,38,42,35,39,41,59,48,52,46,49,48,46,45,47,45,43,45,44,43,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumatra's Westkust,226,0,246,386,430,470,412,23,378,390,454,452,543,558,559,493,552,497,579,488,656,566,511,502,36,36,38,708,667,711,567,686,576,751,556,699,719,610,654,623,593,723,577,516,496,440,443,450,456,449,16,525,478,386,202,247,282,336,308,268,325,0,297,235,248,248,422,251,280,290,301,284,234,214,176,175,171,189,178,170,0,0,0,0,0,140,154,183,132
Surat,106,0,0,213,107,0,0,0,36,0,147,114,92,88,66,70,185,66,175,178,182,175,57,68,67,205,191,183,153,190,211,91,93,89,210,221,103,208,214,214,297,291,0,284,253,304,0,244,0,281,239,264,385,401,215,240,186,212,0,154,150,0,147,76,58,55,57,67,64,90,106,103,167,87,65,62,60,61,61,56,0,0,0,0,25,155,162,42,34
Ternate,564,0,565,568,641,642,555,561,646,656,647,735,852,754,731,693,643,653,664,905,887,901,965,1103,874,876,899,931,865,823,844,957,1390,1329,979,983,1091,1043,1070,1029,894,828,931,813,816,829,684,633,650,0,0,608,759,716,699,720,750,736,21,691,676,0,688,698,827,788,871,0,862,838,862,801,771,748,743,752,847,814,901,859,780,774,771,738,803,817,817,846,866
Timor,49,53,48,54,56,53,44,39,37,0,32,33,36,37,35,36,35,34,45,67,52,44,43,42,42,46,46,35,52,50,44,52,49,44,48,49,47,44,52,45,47,47,49,46,42,41,38,70,80,64,60,67,68,77,85,73,92,97,0,92,136,0,0,109,65,74,60,72,63,63,71,63,62,61,58,67,70,56,49,68,62,55,57,59,60,61,74,80,82
Pontiana(k),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,87,90,57,56,39,68,61,66,87,108
